Oyuncu İsmi,Doğum Tarihi/Yaş,Uyruk,Piyasa Değeri
Okan Kocuk,27 Tem 1995 (29),Türkiye,1.70 mil. €  
Halil Yeral,1 Oca 2000 (25),Türkiye,75 bin €  
Taha Tosun,28 Nis 2005 (19),Türkiye,50 bin €  
Muammer Yıldırım,14 Eyl 1990 (34),Türkiye,25 bin €  
Efe Berat Törüz,8 Eyl 2006 (18),Türkiye,-
Rick van Drongelen,20 Ara 1998 (26),Hollanda,2.00 mil. €  
Lubomir Satka,2 Ara 1995 (29),Slovakya,1.30 mil. €  
Yunus Emre Çift,1 Eyl 2003 (21),Türkiye,350 bin €  
Bedirhan Çetin,29 Haz 2006 (18),Türkiye,150 bin €  
Elano Yegen,8 Eki 2002 (22),Türkiye,50 bin €  
Marc Bola,9 Ara 1997 (27),İngiltere,1.20 mil. €  
Soner Gönül,11 Haz 1997 (27),Türkiye,550 bin €  
Enes Albak,16 May 2005 (19),Türkiye,125 bin €  
Nanu,17 May 1994 (30),Gine-Bissau,400 bin €  
Zeki Yavru  ,5 Eyl 1991 (33),Türkiye,350 bin €  
Mustafa Tan,27 Nis 2005 (19),Türkiye,350 bin €  
Youssef Aït Bennasser ,7 Tem 1996 (28),Fas,1.00 mil. €  
Flavien Tait,2 Şub 1993 (31),Fransa,900 bin €  
Celil Yüksel,1 Oca 1998 (27),Türkiye,700 bin €  
Muhammet Ali Özbaskıcı,27 Eyl 2005 (19),Türkiye,300 bin €  
Soner Aydoğdu,5 Oca 1991 (34),Türkiye,125 bin €  
Alper Efe Pazar,8 Şub 2005 (19),Türkiye,-
Carlo Holse,2 Haz 1999 (25),Danimarka,3.40 mil. €  
Olivier Ntcham,9 Şub 1996 (28),Kamerun,3.00 mil. €  
Emre Kılınç,23 Ağu 1994 (30),Türkiye,1.70 mil. €  
Arbnor Muja,29 Kas 1998 (26),Arnavutluk,3.70 mil. €  
Kingsley Schindler,12 Tem 1993 (31),Gana,850 bin €  
Marius Mouandilmadji,22 Oca 1998 (26),Cad,2.90 mil. €  
Landry Dimata,1 Eyl 1997 (27),Belçika,2.20 mil. €  
Ercan Kara,3 Oca 1996 (29),Avusturya,1.20 mil. €  
Gaëtan Laura,6 Ağu 1995 (29),Kongo DC,450 bin €  
Berhan Deniz,25 Kas 2004 (20),Türkiye,75 bin €  
Ali Kılıç,11 Mar 2004 (20),Türkiye,50 bin €
Fernando Muslera ,16 Haz 1986 (38),Uruguay,1.00 mil. €  
Günay Güvenç,25 Haz 1991 (33),Türkiye,500 bin €  
Batuhan Şen,3 Şub 1999 (25),Türkiye,275 bin €  
Atakan Ordu,29 Mar 2005 (19),Türkiye,50 bin €  
Davinson Sánchez,12 Haz 1996 (28),Kolombiya,19.00 mil. €  
Victor Nelsson,14 Eki 1998 (26),Danimarka,14.00 mil. €  
Abdülkerim Bardakcı,7 Eyl 1994 (30),Türkiye,7.50 mil. €  
Metehan Baltacı,3 Kas 2002 (22),Türkiye,2.80 mil. €  
Ali Yeşilyurt,30 Tem 2005 (19),Türkiye,75 bin €  
Ismail Jakobs,17 Ağu 1999 (25),Senegal,8.00 mil. €  
Elias Jelert,12 Haz 2003 (21),Danimarka,7.50 mil. €  
Kaan Ayhan,10 Kas 1994 (30),Türkiye,4.60 mil. €  
Lucas Torreira,11 Şub 1996 (28),Uruguay,15.00 mil. €  
Efe Akman,20 Mar 2006 (18),Türkiye,600 bin €  
Gabriel Sara ,26 Haz 1999 (25),Brezilya,23.00 mil. €  
Kerem Demirbay,3 Tem 1993 (31),Almanya,3.80 mil. €  
Berkan Kutlu,25 Oca 1998 (26),Türkiye,3.80 mil. €  
Eyüp Aydın ,2 Ağu 2004 (20),Almanya,1.00 mil. €  
Gökdeniz Gürpüz ,25 Şub 2006 (18),Türkiye,350 bin €  
Barış Alper Yılmaz,23 May 2000 (24),Türkiye,20.00 mil. €  
Roland Sallai ,22 May 1997 (27),Macaristan,13.00 mil. €  
Yunus Akgün,7 Tem 2000 (24),Türkiye,11.00 mil. €  
Hakim Ziyech,19 Mar 1993 (31),Fas,5.00 mil. €  
Yusuf Demir,2 Haz 2003 (21),Avusturya,2.20 mil. €  
Dries Mertens,6 May 1987 (37),Belçika,1.80 mil. €  
Victor Osimhen,29 Ara 1998 (26),Nijerya,75.00 mil. €  
Mauro Icardi ,19 Şub 1993 (31),Arjantin,13.00 mil. €  
Michy Batshuayi,2 Eki 1993 (31),Belçika,7.00 mil. €  
Dominik Livakovic,9 Oca 1995 (30),Hırvatistan,11.00 mil. €  
İrfan Can Eğribayat,30 Haz 1998 (26),Türkiye,1.00 mil. €  
Ertuğrul Çetin,21 Nis 2003 (21),Türkiye,450 bin €  
Çağlar Söyüncü,23 May 1996 (28),Türkiye,8.50 mil. €  
Alexander Djiku,9 Ağu 1994 (30),Gana,8.50 mil. €  
Rodrigo Becão ,19 Oca 1996 (28),Brezilya,8.00 mil. €  
Samet Akaydin,13 Mar 1994 (30),Türkiye,2.00 mil. €  
Emir Ortakaya ,22 Haz 2004 (20),Türkiye,900 bin €
Serdar Aziz ,23 Eki 1990 (34),Türkiye,200 bin €  
Yusuf Akçiçek,25 Oca 2006 (18),Türkiye,150 bin €
Jayden Oosterwolde ,26 Nis 2001 (23),Hollanda,15.00 mil. €  
Filip Kostić ,1 Kas 1992 (32),Sırbistan,6.00 mil. €  
Levent Mercan ,10 Ara 2000 (24),Türkiye,2.30 mil. €  
Bright Osayi-Samuel,31 Ara 1997 (27),Nijerya,8.00 mil. €  
Mert Müldür ,3 Nis 1999 (25),Türkiye,6.50 mil. €  
Sofyan Amrabat ,21 Ağu 1996 (28),Fas,22.00 mil. €  
İsmail Yüksek ,26 Oca 1999 (25),Türkiye,14.00 mil. €  
Bartuğ Elmaz ,19 Şub 2003 (21),Türkiye,1.50 mil. €  
Fred,5 Mar 1993 (31),Brezilya,13.00 mil. €  
Sebastian Szymański,10 May 1999 (25),Polonya,17.00 mil. €  
Lincoln ,7 Kas 1998 (26),Brezilya,4.00 mil. €
Mert Hakan Yandaş,19 Ağu 1994 (30),Türkiye,1.10 mil. €  
Allan Saint-Maximin,12 Mar 1997 (27),Fransa,17.00 mil. €  
Oğuz Aydın ,27 Eki 2000 (24),Türkiye,6.00 mil. €  
İrfan Can Kahveci,15 Tem 1995 (29),Türkiye,9.50 mil. €  
Cengiz Ünder,14 Tem 1997 (27),Türkiye,7.50 mil. €  
Dusan Tadic,20 Kas 1988 (36),Sırbistan,3.00 mil. €  
Burak Kapacak ,8 Ara 1999 (25),Türkiye,200 bin €  
Youssef En-Nesyri,1 Haz 1997 (27),Fas,22.00 mil. €  
Edin Dzeko ,17 Mar 1986 (38),Bosna-Hersek,2.20 mil. €  
Cenk Tosun,7 Haz 1991 (33),Türkiye,1.40 mil. €  
