Oyuncu İsmi,Uyruk,Piyasa Değeri,Piyasa Değeri (Sayısal),Doğum Tarihi,Yaş
Okan Kocuk,Türkiye,1.70 mil. €  ,1700000.0,27 Tem 1995,29
Halil Yeral,Türkiye,75 bin €  ,75000.0,1 Oca 2000,25
Taha Tosun,Türkiye,50 bin €  ,50000.0,28 Nis 2005,19
Muammer Yıldırım,Türkiye,25 bin €  ,25000.0,14 Eyl 1990,34
Efe Berat Törüz,Türkiye,-,,8 Eyl 2006,18
Rick van Drongelen,Hollanda,2.00 mil. €  ,2000000.0,20 Ara 1998,26
Lubomir Satka,Slovakya,1.30 mil. €  ,1300000.0,2 Ara 1995,29
Yunus Emre Çift,Türkiye,350 bin €  ,350000.0,1 Eyl 2003,21
Bedirhan Çetin,Türkiye,150 bin €  ,150000.0,29 Haz 2006,18
Elano Yegen,Türkiye,50 bin €  ,50000.0,8 Eki 2002,22
Marc Bola,İngiltere,1.20 mil. €  ,1200000.0,9 Ara 1997,27
Soner Gönül,Türkiye,550 bin €  ,550000.0,11 Haz 1997,27
Enes Albak,Türkiye,125 bin €  ,125000.0,16 May 2005,19
Nanu,Gine-Bissau,400 bin €  ,400000.0,17 May 1994,30
Zeki Yavru  ,Türkiye,350 bin €  ,350000.0,5 Eyl 1991,33
Mustafa Tan,Türkiye,350 bin €  ,350000.0,27 Nis 2005,19
Youssef Aït Bennasser ,Fas,1.00 mil. €  ,1000000.0,7 Tem 1996,28
Flavien Tait,Fransa,900 bin €  ,900000.0,2 Şub 1993,31
Celil Yüksel,Türkiye,700 bin €  ,700000.0,1 Oca 1998,27
Muhammet Ali Özbaskıcı,Türkiye,300 bin €  ,300000.0,27 Eyl 2005,19
Soner Aydoğdu,Türkiye,125 bin €  ,125000.0,5 Oca 1991,34
Alper Efe Pazar,Türkiye,-,,8 Şub 2005,19
Carlo Holse,Danimarka,3.40 mil. €  ,3400000.0,2 Haz 1999,25
Olivier Ntcham,Kamerun,3.00 mil. €  ,3000000.0,9 Şub 1996,28
Emre Kılınç,Türkiye,1.70 mil. €  ,1700000.0,23 Ağu 1994,30
Arbnor Muja,Arnavutluk,3.70 mil. €  ,3700000.0,29 Kas 1998,26
Kingsley Schindler,Gana,850 bin €  ,850000.0,12 Tem 1993,31
Marius Mouandilmadji,Cad,2.90 mil. €  ,2900000.0,22 Oca 1998,26
Landry Dimata,Belçika,2.20 mil. €  ,2200000.0,1 Eyl 1997,27
