Oyuncu İsmi,Yaş,Uyruk,Piyasa Değeri,Piyasa Değeri (Sayısal)
Okan Kocuk,29,Türkiye,1.70 mil. €  ,1700000.0
Halil Yeral,25,Türkiye,75 bin €  ,75000.0
Taha Tosun,19,Türkiye,50 bin €  ,50000.0
Muammer Yıldırım,34,Türkiye,25 bin €  ,25000.0
Efe Berat Törüz,18,Türkiye,-,
Rick van Drongelen,26,Hollanda,2.00 mil. €  ,2000000.0
Lubomir Satka,29,Slovakya,1.30 mil. €  ,1300000.0
Yunus Emre Çift,21,Türkiye,350 bin €  ,350000.0
Bedirhan Çetin,18,Türkiye,150 bin €  ,150000.0
Elano Yegen,22,Türkiye,50 bin €  ,50000.0
Marc Bola,27,İngiltere,1.20 mil. €  ,1200000.0
Soner Gönül,27,Türkiye,550 bin €  ,550000.0
Enes Albak,19,Türkiye,125 bin €  ,125000.0
Nanu,30,Gine-Bissau,400 bin €  ,400000.0
Zeki Yavru  ,33,Türkiye,350 bin €  ,350000.0
Mustafa Tan,19,Türkiye,350 bin €  ,350000.0
Youssef Aït Bennasser ,28,Fas,1.00 mil. €  ,1000000.0
Flavien Tait,31,Fransa,900 bin €  ,900000.0
Celil Yüksel,27,Türkiye,700 bin €  ,700000.0
Muhammet Ali Özbaskıcı,19,Türkiye,300 bin €  ,300000.0
Soner Aydoğdu,34,Türkiye,125 bin €  ,125000.0
Alper Efe Pazar,19,Türkiye,-,
Carlo Holse,25,Danimarka,3.40 mil. €  ,3400000.0
Olivier Ntcham,28,Kamerun,3.00 mil. €  ,3000000.0
Emre Kılınç,30,Türkiye,1.70 mil. €  ,1700000.0
Arbnor Muja,26,Arnavutluk,3.70 mil. €  ,3700000.0
Kingsley Schindler,31,Gana,850 bin €  ,850000.0
Marius Mouandilmadji,26,Cad,2.90 mil. €  ,2900000.0
Landry Dimata,27,Belçika,2.20 mil. €  ,2200000.0
Ercan Kara,29,Avusturya,1.20 mil. €  ,1200000.0
Gaëtan Laura,29,Kongo DC,450 bin €  ,450000.0
Berhan Deniz,20,Türkiye,75 bin €  ,75000.0
Ali Kılıç,20,Türkiye,50 bin €,50000.0
Fernando Muslera ,38,Uruguay,1.00 mil. €  ,1000000.0
Günay Güvenç,33,Türkiye,500 bin €  ,500000.0
Batuhan Şen,25,Türkiye,275 bin €  ,275000.0
Atakan Ordu,19,Türkiye,50 bin €  ,50000.0
Davinson Sánchez,28,Kolombiya,19.00 mil. €  ,19000000.0
Victor Nelsson,26,Danimarka,14.00 mil. €  ,14000000.0
Abdülkerim Bardakcı,30,Türkiye,7.50 mil. €  ,7500000.0
Metehan Baltacı,22,Türkiye,2.80 mil. €  ,2800000.0
