Oyuncu İsmi,Doğum Tarihi/Yaş,Uyruk,Piyasa Değeri
Rasim Mutlu,35,Türkiye,-
Berkay Güzel,25,Türkiye,-
Cenk Özbey,33,Türkiye,-
Arda Okumuş,22,Türkiye,-
Erdin Üzer,30,Türkiye,-
Bahadır Bilen,24,Türkiye,-
Sertaç Kayatekin,28,Türkiye,-
Orhan Safa Barip,25,Türkiye,-
Hüseyin Tokmak,31,Türkiye,-
Mert Yavuz,30,Türkiye,-
Soner Özdemir,22,Türkiye,-
Dogukan Bülbül,22,Türkiye,-
Kerim Deler,30,Türkiye,-
Gökhan Çamur,26,Türkiye,-
Murat Kara,33,Türkiye,-
Uğur Can Semizoğlu,23,Türkiye,-
Necati Önal,28,Türkiye,-
Sefa Turan,32,Türkiye,-
Oğuzhan Düzenli,33,Türkiye,-
Cengizhan Avcı,26,Türkiye,-
