Oyuncu İsmi,Doğum Tarihi/Yaş,Uyruk,Piyasa Değeri
Fernando Muslera ,16 Haz 1986 (38),Uruguay,1.00 mil. €  
Günay Güvenç,25 Haz 1991 (33),Türkiye,500 bin €  
Batuhan Şen,3 Şub 1999 (25),Türkiye,275 bin €  
Atakan Ordu,29 Mar 2005 (19),Türkiye,50 bin €  
Davinson Sánchez,12 Haz 1996 (28),Kolombiya,19.00 mil. €  
Victor Nelsson,14 Eki 1998 (26),Danimarka,14.00 mil. €  
Abdülkerim Bardakcı,7 Eyl 1994 (30),Türkiye,7.50 mil. €  
Metehan Baltacı,3 Kas 2002 (22),Türkiye,2.80 mil. €  
Ali Yeşilyurt,30 Tem 2005 (19),Türkiye,75 bin €  
Ismail Jakobs,17 Ağu 1999 (25),Senegal,8.00 mil. €  
Elias Jelert,12 Haz 2003 (21),Danimarka,7.50 mil. €  
Kaan Ayhan,10 Kas 1994 (30),Türkiye,4.60 mil. €  
Lucas Torreira,11 Şub 1996 (28),Uruguay,15.00 mil. €  
Efe Akman,20 Mar 2006 (18),Türkiye,600 bin €  
Gabriel Sara ,26 Haz 1999 (25),Brezilya,23.00 mil. €  
Kerem Demirbay,3 Tem 1993 (31),Almanya,3.80 mil. €  
Berkan Kutlu,25 Oca 1998 (26),Türkiye,3.80 mil. €  
Eyüp Aydın ,2 Ağu 2004 (20),Almanya,1.00 mil. €  
Gökdeniz Gürpüz ,25 Şub 2006 (18),Türkiye,350 bin €  
Barış Alper Yılmaz,23 May 2000 (24),Türkiye,20.00 mil. €  
Roland Sallai ,22 May 1997 (27),Macaristan,13.00 mil. €  
Yunus Akgün,7 Tem 2000 (24),Türkiye,11.00 mil. €  
Hakim Ziyech,19 Mar 1993 (31),Fas,5.00 mil. €  
Yusuf Demir,2 Haz 2003 (21),Avusturya,2.20 mil. €  
Dries Mertens,6 May 1987 (37),Belçika,1.80 mil. €  
Victor Osimhen,29 Ara 1998 (26),Nijerya,75.00 mil. €  
Mauro Icardi ,19 Şub 1993 (31),Arjantin,13.00 mil. €  
Michy Batshuayi,2 Eki 1993 (31),Belçika,7.00 mil. €  
